double_matchings,bits_recovered,bits,%
20.0,100.0,166.0,0.6024096385542169
32.0,136.0,412.0,0.3300970873786408
46.0,122.0,370.0,0.32972972972972975
86.0,900.0,2538.0,0.3546099290780142
103.0,2278.0,4930.0,0.46206896551724136
79.0,1016.0,2312.0,0.43944636678200694
73.0,574.0,1626.0,0.35301353013530135
111.0,1944.0,4050.0,0.48
92.0,1500.0,3310.0,0.45317220543806647
28.0,80.0,290.0,0.27586206896551724
114.0,1812.0,4142.0,0.4374698213423467
41.0,258.0,528.0,0.48863636363636365
91.0,984.0,2854.0,0.3447792571829012
86.0,1482.0,2902.0,0.5106822880771882
60.0,844.0,1558.0,0.5417201540436457
72.0,590.0,1906.0,0.3095487932843652
37.0,176.0,486.0,0.36213991769547327
124.0,2414.0,6350.0,0.3801574803149606
89.0,1436.0,2648.0,0.5422960725075529
83.0,1030.0,2494.0,0.41299117882919006
22.0,40.0,160.0,0.25
18.0,16.0,88.0,0.18181818181818182
65.0,654.0,1300.0,0.5030769230769231
58.0,360.0,900.0,0.4
75.0,526.0,1510.0,0.3483443708609272
82.0,1134.0,2460.0,0.4609756097560976
110.0,1972.0,4024.0,0.4900596421471173
30.0,92.0,280.0,0.32857142857142857
15.0,38.0,76.0,0.5
51.0,406.0,1176.0,0.34523809523809523
8.0,0.0,10.0,0.0
9.0,8.0,24.0,0.3333333333333333
33.0,254.0,450.0,0.5644444444444444
77.0,608.0,1962.0,0.30988786952089703
30.0,206.0,382.0,0.5392670157068062
77.0,622.0,1984.0,0.31350806451612906
102.0,1776.0,4096.0,0.43359375
117.0,1790.0,4156.0,0.4307025986525505
7.0,4.0,8.0,0.5
50.0,504.0,862.0,0.5846867749419954
54.0,654.0,1110.0,0.5891891891891892
25.0,108.0,208.0,0.5192307692307693
64.0,628.0,1588.0,0.3954659949622166
46.0,514.0,814.0,0.6314496314496314
80.0,736.0,2316.0,0.3177892918825561
39.0,258.0,598.0,0.431438127090301
22.0,126.0,214.0,0.5887850467289719
54.0,472.0,1324.0,0.3564954682779456
64.0,706.0,1768.0,0.3993212669683258
62.0,502.0,1390.0,0.36115107913669064
6.0,4.0,6.0,0.6666666666666666
120.0,1794.0,4372.0,0.4103385178408051
11.0,22.0,42.0,0.5238095238095238
58.0,562.0,1470.0,0.38231292517006804
93.0,1280.0,3078.0,0.4158544509421702
73.0,606.0,1794.0,0.3377926421404682
35.0,268.0,506.0,0.5296442687747036
93.0,880.0,2502.0,0.3517186250999201
18.0,0.0,96.0,0.0
118.0,2440.0,4906.0,0.49735018344883813
116.0,2246.0,5074.0,0.4426487977926685
54.0,428.0,1126.0,0.38010657193605685
64.0,474.0,1262.0,0.375594294770206
57.0,432.0,1162.0,0.3717728055077453
124.0,2700.0,6912.0,0.390625
77.0,772.0,2074.0,0.3722275795564127
15.0,24.0,82.0,0.2926829268292683
49.0,352.0,706.0,0.4985835694050991
45.0,358.0,850.0,0.4211764705882353
40.0,200.0,556.0,0.3597122302158273
61.0,558.0,1458.0,0.38271604938271603
52.0,558.0,1090.0,0.5119266055045871
32.0,190.0,398.0,0.47738693467336685
29.0,62.0,182.0,0.34065934065934067
71.0,722.0,1568.0,0.4604591836734694
26.0,48.0,236.0,0.2033898305084746
70.0,688.0,1876.0,0.36673773987206826
34.0,82.0,322.0,0.2546583850931677
105.0,1272.0,3576.0,0.35570469798657717
56.0,432.0,1104.0,0.391304347826087
118.0,2494.0,4350.0,0.5733333333333334
63.0,688.0,1792.0,0.38392857142857145
66.0,874.0,1642.0,0.5322777101096224
84.0,978.0,2218.0,0.4409377817853922
19.0,32.0,94.0,0.3404255319148936
20.0,80.0,210.0,0.38095238095238093
23.0,80.0,126.0,0.6349206349206349
52.0,342.0,972.0,0.35185185185185186
102.0,1498.0,3342.0,0.44823459006582883
112.0,1732.0,3994.0,0.43365047571357035
110.0,2112.0,4816.0,0.43853820598006643
125.0,2478.0,5962.0,0.41563233814156325
47.0,202.0,766.0,0.26370757180156656
81.0,678.0,2148.0,0.31564245810055863
50.0,502.0,1068.0,0.4700374531835206
80.0,824.0,2266.0,0.36363636363636365
78.0,1072.0,2296.0,0.46689895470383275
54.0,498.0,1042.0,0.4779270633397313
35.0,86.0,382.0,0.225130890052356
91.0,1332.0,3136.0,0.4247448979591837
103.0,2150.0,4054.0,0.5303404045387272
51.0,442.0,910.0,0.4857142857142857
25.0,62.0,192.0,0.3229166666666667
94.0,1552.0,3232.0,0.4801980198019802
20.0,108.0,202.0,0.5346534653465347
15.0,62.0,94.0,0.6595744680851063
81.0,708.0,2056.0,0.3443579766536965
44.0,234.0,806.0,0.2903225806451613
17.0,112.0,158.0,0.7088607594936709
69.0,852.0,1832.0,0.4650655021834061
69.0,742.0,1906.0,0.38929695697796435
59.0,662.0,1386.0,0.47763347763347763
57.0,386.0,976.0,0.39549180327868855
88.0,772.0,3118.0,0.24759461193072482
124.0,1964.0,4548.0,0.4318381706244503
29.0,144.0,262.0,0.549618320610687
57.0,664.0,1324.0,0.5015105740181269
79.0,1026.0,2232.0,0.4596774193548387
24.0,30.0,178.0,0.16853932584269662
30.0,136.0,448.0,0.30357142857142855
84.0,1152.0,2718.0,0.423841059602649
102.0,1414.0,3952.0,0.35779352226720645
91.0,1906.0,3254.0,0.5857406269207129
106.0,2038.0,4128.0,0.4937015503875969
50.0,346.0,902.0,0.3835920177383592
38.0,308.0,582.0,0.5292096219931272
