double_matchings,bits_recovered,bits,%
111.0,1336.0,1336.0,1.0
43.0,232.0,232.0,1.0
48.0,276.0,276.0,1.0
98.0,1622.0,1622.0,1.0
64.0,318.0,318.0,1.0
107.0,1342.0,1342.0,1.0
55.0,460.0,460.0,1.0
69.0,522.0,522.0,1.0
48.0,490.0,490.0,1.0
111.0,1460.0,1460.0,1.0
17.0,52.0,52.0,1.0
102.0,858.0,858.0,1.0
66.0,418.0,418.0,1.0
90.0,1066.0,1066.0,1.0
6.0,4.0,4.0,1.0
96.0,808.0,808.0,1.0
92.0,1512.0,1512.0,1.0
123.0,1938.0,1938.0,1.0
80.0,1000.0,1000.0,1.0
12.0,0.0,28.0,0.0
76.0,680.0,680.0,1.0
131.0,1366.0,1366.0,1.0
106.0,1296.0,1296.0,1.0
91.0,664.0,664.0,1.0
125.0,1930.0,1930.0,1.0
94.0,888.0,888.0,1.0
23.0,32.0,32.0,1.0
65.0,574.0,574.0,1.0
71.0,846.0,846.0,1.0
58.0,382.0,382.0,1.0
10.0,22.0,22.0,1.0
53.0,310.0,310.0,1.0
87.0,884.0,884.0,1.0
28.0,30.0,30.0,1.0
41.0,202.0,202.0,1.0
99.0,1258.0,1258.0,1.0
113.0,1512.0,1512.0,1.0
20.0,66.0,66.0,1.0
34.0,144.0,144.0,1.0
60.0,192.0,192.0,1.0
58.0,198.0,198.0,1.0
15.0,16.0,16.0,1.0
99.0,1212.0,1212.0,1.0
18.0,16.0,16.0,1.0
112.0,1308.0,1308.0,1.0
23.0,28.0,28.0,1.0
44.0,228.0,228.0,1.0
88.0,850.0,850.0,1.0
15.0,22.0,22.0,1.0
51.0,376.0,376.0,1.0
116.0,2554.0,2554.0,1.0
40.0,128.0,128.0,1.0
23.0,110.0,110.0,1.0
94.0,702.0,702.0,1.0
54.0,438.0,438.0,1.0
66.0,542.0,542.0,1.0
21.0,56.0,56.0,1.0
103.0,920.0,920.0,1.0
91.0,488.0,488.0,1.0
89.0,674.0,674.0,1.0
41.0,286.0,286.0,1.0
37.0,190.0,190.0,1.0
11.0,10.0,10.0,1.0
111.0,1654.0,1654.0,1.0
130.0,1728.0,1728.0,1.0
78.0,790.0,790.0,1.0
39.0,166.0,166.0,1.0
16.0,48.0,48.0,1.0
49.0,346.0,346.0,1.0
83.0,872.0,872.0,1.0
96.0,1470.0,1470.0,1.0
58.0,378.0,378.0,1.0
50.0,592.0,592.0,1.0
117.0,2022.0,2022.0,1.0
121.0,1708.0,1708.0,1.0
33.0,80.0,80.0,1.0
128.0,1726.0,1726.0,1.0
32.0,190.0,190.0,1.0
92.0,918.0,918.0,1.0
31.0,148.0,148.0,1.0
121.0,1718.0,1718.0,1.0
104.0,1286.0,1286.0,1.0
73.0,486.0,486.0,1.0
54.0,472.0,472.0,1.0
78.0,664.0,664.0,1.0
101.0,1224.0,1224.0,1.0
47.0,232.0,232.0,1.0
96.0,1100.0,1100.0,1.0
9.0,6.0,6.0,1.0
17.0,22.0,22.0,1.0
12.0,24.0,24.0,1.0
126.0,1798.0,1798.0,1.0
41.0,188.0,188.0,1.0
8.0,4.0,4.0,1.0
120.0,2140.0,2140.0,1.0
117.0,1752.0,1752.0,1.0
29.0,136.0,136.0,1.0
95.0,1200.0,1200.0,1.0
91.0,758.0,758.0,1.0
113.0,1008.0,1008.0,1.0
118.0,1582.0,1582.0,1.0
126.0,1906.0,1906.0,1.0
51.0,450.0,450.0,1.0
120.0,952.0,952.0,1.0
25.0,136.0,136.0,1.0
5.0,4.0,4.0,1.0
73.0,592.0,592.0,1.0
12.0,38.0,38.0,1.0
18.0,14.0,14.0,1.0
53.0,174.0,174.0,1.0
80.0,944.0,944.0,1.0
21.0,62.0,62.0,1.0
101.0,1134.0,1134.0,1.0
23.0,144.0,144.0,1.0
16.0,78.0,78.0,1.0
12.0,16.0,16.0,1.0
69.0,622.0,622.0,1.0
71.0,412.0,412.0,1.0
100.0,720.0,720.0,1.0
16.0,52.0,52.0,1.0
32.0,198.0,198.0,1.0
123.0,1642.0,1642.0,1.0
92.0,900.0,900.0,1.0
117.0,1042.0,1042.0,1.0
37.0,150.0,150.0,1.0
21.0,70.0,70.0,1.0
57.0,370.0,370.0,1.0
103.0,888.0,888.0,1.0
41.0,148.0,148.0,1.0
42.0,192.0,192.0,1.0
73.0,472.0,472.0,1.0
109.0,1272.0,1272.0,1.0
52.0,256.0,256.0,1.0
28.0,80.0,80.0,1.0
107.0,1012.0,1012.0,1.0
10.0,0.0,38.0,0.0
119.0,1272.0,1272.0,1.0
24.0,40.0,40.0,1.0
82.0,752.0,752.0,1.0
94.0,1046.0,1046.0,1.0
102.0,908.0,908.0,1.0
6.0,4.0,4.0,1.0
8.0,16.0,16.0,1.0
95.0,838.0,838.0,1.0
15.0,62.0,62.0,1.0
100.0,1458.0,1458.0,1.0
99.0,854.0,854.0,1.0
66.0,506.0,506.0,1.0
95.0,952.0,952.0,1.0
134.0,1758.0,1758.0,1.0
23.0,88.0,88.0,1.0
66.0,586.0,586.0,1.0
86.0,592.0,592.0,1.0
33.0,72.0,72.0,1.0
92.0,896.0,896.0,1.0
40.0,122.0,122.0,1.0
109.0,1576.0,1576.0,1.0
40.0,46.0,46.0,1.0
24.0,80.0,80.0,1.0
53.0,208.0,208.0,1.0
83.0,562.0,562.0,1.0
46.0,256.0,256.0,1.0
78.0,640.0,640.0,1.0
57.0,334.0,334.0,1.0
33.0,88.0,88.0,1.0
10.0,24.0,24.0,1.0
124.0,1472.0,1472.0,1.0
93.0,880.0,880.0,1.0
28.0,22.0,22.0,1.0
57.0,550.0,550.0,1.0
62.0,274.0,274.0,1.0
81.0,958.0,958.0,1.0
95.0,864.0,864.0,1.0
119.0,1462.0,1462.0,1.0
29.0,180.0,180.0,1.0
24.0,56.0,56.0,1.0
35.0,190.0,190.0,1.0
75.0,448.0,448.0,1.0
59.0,256.0,256.0,1.0
47.0,214.0,214.0,1.0
126.0,1582.0,1582.0,1.0
85.0,792.0,792.0,1.0
9.0,22.0,22.0,1.0
71.0,742.0,742.0,1.0
11.0,14.0,14.0,1.0
73.0,640.0,640.0,1.0
85.0,336.0,336.0,1.0
85.0,1088.0,1088.0,1.0
69.0,670.0,670.0,1.0
98.0,952.0,952.0,1.0
129.0,2002.0,2002.0,1.0
4.0,2.0,2.0,1.0
46.0,294.0,294.0,1.0
66.0,480.0,480.0,1.0
59.0,592.0,592.0,1.0
120.0,2124.0,2124.0,1.0
70.0,580.0,580.0,1.0
48.0,382.0,382.0,1.0
