double_matchings,bits_recovered,bits,%
122.0,2726.0,5648.0,0.4826487252124646
125.0,2308.0,6654.0,0.3468590321611061
132.0,1620.0,7478.0,0.21663546402781492
136.0,3880.0,8018.0,0.483911199800449
127.0,3376.0,7176.0,0.47045707915273133
131.0,1776.0,6288.0,0.2824427480916031
126.0,2718.0,5758.0,0.4720389023966655
128.0,2096.0,5338.0,0.39265642562757586
148.0,3018.0,7632.0,0.39544025157232704
135.0,3232.0,7922.0,0.4079777833880333
135.0,2542.0,5734.0,0.44332054412277644
114.0,2406.0,5850.0,0.4112820512820513
122.0,1890.0,6106.0,0.3095316082541762
130.0,2776.0,6740.0,0.4118694362017804
113.0,2070.0,5044.0,0.41038858049167326
113.0,2322.0,4922.0,0.4717594473791142
131.0,3494.0,7246.0,0.4821970742478609
128.0,2222.0,5862.0,0.3790515182531559
138.0,3408.0,7052.0,0.4832671582529779
129.0,2512.0,5220.0,0.4812260536398467
140.0,2006.0,6064.0,0.3308047493403694
131.0,2214.0,6286.0,0.35221126312440343
121.0,2202.0,5088.0,0.43278301886792453
123.0,1932.0,5358.0,0.36058230683090703
124.0,2616.0,5574.0,0.46932185145317545
125.0,1770.0,5492.0,0.3222869628550619
125.0,2000.0,6004.0,0.3331112591605596
131.0,3042.0,6822.0,0.44591029023746703
131.0,2532.0,5486.0,0.46153846153846156
131.0,2304.0,5740.0,0.4013937282229965
104.0,1812.0,3848.0,0.4708939708939709
127.0,3096.0,6012.0,0.5149700598802395
129.0,2446.0,6004.0,0.40739506995336444
125.0,2708.0,5592.0,0.4842632331902718
137.0,2662.0,7142.0,0.3727247269672361
132.0,3326.0,6448.0,0.515818858560794
126.0,2424.0,5704.0,0.42496493688639553
115.0,1984.0,4580.0,0.4331877729257642
129.0,2718.0,7470.0,0.363855421686747
119.0,3002.0,6260.0,0.47955271565495206
140.0,3862.0,8002.0,0.48262934266433394
122.0,2798.0,5482.0,0.5103976650857351
119.0,1850.0,5314.0,0.34813699661272113
139.0,3400.0,7308.0,0.4652435686918446
148.0,3064.0,8032.0,0.38147410358565736
133.0,2552.0,6112.0,0.4175392670157068
142.0,2974.0,6718.0,0.4426912771658232
136.0,2278.0,6656.0,0.34224759615384615
122.0,2840.0,5932.0,0.4787592717464599
132.0,2094.0,5680.0,0.3686619718309859
122.0,2590.0,6212.0,0.4169349645846748
126.0,3102.0,5374.0,0.5772236695199107
140.0,2644.0,7192.0,0.36763070077864296
112.0,2460.0,5120.0,0.48046875
125.0,2388.0,6136.0,0.3891786179921773
113.0,1506.0,4356.0,0.34573002754820936
118.0,2420.0,6084.0,0.3977646285338593
135.0,2930.0,6840.0,0.4283625730994152
138.0,2308.0,5786.0,0.3988938817836156
133.0,2176.0,6420.0,0.33894080996884735
142.0,2600.0,6010.0,0.43261231281198004
123.0,2644.0,5882.0,0.44950697041822507
145.0,3352.0,8560.0,0.39158878504672895
128.0,2016.0,6252.0,0.32245681381957775
124.0,1500.0,4764.0,0.3148614609571788
132.0,3008.0,6616.0,0.4546553808948005
126.0,2336.0,6480.0,0.36049382716049383
128.0,2174.0,5846.0,0.37187820732124527
123.0,2496.0,6768.0,0.36879432624113473
127.0,2940.0,5740.0,0.5121951219512195
130.0,1494.0,5000.0,0.2988
144.0,3412.0,7458.0,0.4574953070528292
126.0,2350.0,5718.0,0.41098286114025884
126.0,2712.0,6048.0,0.44841269841269843
128.0,2522.0,6516.0,0.3870472682627379
140.0,3002.0,7856.0,0.38212830957230143
139.0,3232.0,6240.0,0.517948717948718
133.0,1840.0,6518.0,0.2822951825713409
128.0,1858.0,6888.0,0.2697444831591173
133.0,3178.0,6394.0,0.4970284641851736
138.0,3532.0,7770.0,0.45456885456885454
139.0,2986.0,7902.0,0.3778790179701341
129.0,2296.0,6240.0,0.367948717948718
135.0,3238.0,5984.0,0.5411096256684492
135.0,2014.0,6750.0,0.2983703703703704
136.0,2900.0,6390.0,0.4538341158059468
129.0,1500.0,4984.0,0.30096308186195825
129.0,2052.0,6352.0,0.3230478589420655
121.0,1372.0,5110.0,0.2684931506849315
121.0,2586.0,5866.0,0.4408455506307535
129.0,2898.0,6390.0,0.4535211267605634
132.0,2042.0,6804.0,0.30011757789535565
137.0,2670.0,7698.0,0.34684333593141076
128.0,2502.0,6390.0,0.39154929577464787
139.0,2606.0,8196.0,0.3179599804782821
113.0,1510.0,4750.0,0.3178947368421053
124.0,2608.0,6088.0,0.4283837056504599
121.0,2646.0,5968.0,0.4433646112600536
131.0,2404.0,5976.0,0.40227576974564927
131.0,2652.0,6400.0,0.414375
120.0,2552.0,5590.0,0.4565295169946333
120.0,1774.0,5518.0,0.3214932946719826
135.0,2854.0,7348.0,0.38840500816548723
113.0,2062.0,4454.0,0.4629546475078581
126.0,2104.0,5822.0,0.361387839230505
122.0,1396.0,5764.0,0.24219292158223457
126.0,1534.0,4888.0,0.31382978723404253
134.0,2456.0,6362.0,0.38604212511788744
111.0,2088.0,4842.0,0.4312267657992565
125.0,1594.0,5272.0,0.30235204855842185
128.0,1984.0,5998.0,0.3307769256418806
128.0,2954.0,6922.0,0.4267552730424733
139.0,2806.0,5850.0,0.47965811965811966
142.0,3104.0,7464.0,0.41586280814576637
141.0,3412.0,8480.0,0.40235849056603773
136.0,3440.0,7528.0,0.4569606801275239
133.0,2944.0,6160.0,0.4779220779220779
125.0,2182.0,5888.0,0.37058423913043476
120.0,1602.0,4478.0,0.35774899508709246
124.0,3504.0,6012.0,0.5828343313373253
126.0,2488.0,5896.0,0.42198100407055633
132.0,2424.0,6776.0,0.3577331759149941
121.0,2584.0,6106.0,0.4231903046184081
132.0,2368.0,6788.0,0.34885091337654683
137.0,2038.0,6520.0,0.31257668711656444
134.0,2542.0,6478.0,0.3924050632911392
124.0,2292.0,4996.0,0.45876701361088873
122.0,2064.0,5870.0,0.351618398637138
130.0,2140.0,6286.0,0.3404390709513204
107.0,1162.0,3688.0,0.3150759219088937
127.0,2388.0,5872.0,0.40667574931880107
129.0,1538.0,5350.0,0.2874766355140187
117.0,1896.0,5574.0,0.3401506996770721
127.0,2560.0,6270.0,0.4082934609250399
140.0,3198.0,7122.0,0.44903117101937656
138.0,1692.0,6142.0,0.27548029957668513
133.0,2030.0,5576.0,0.36406025824964133
135.0,2968.0,7504.0,0.39552238805970147
121.0,2120.0,5394.0,0.39302929180571006
140.0,2894.0,6750.0,0.42874074074074076
136.0,3552.0,7984.0,0.44488977955911824
130.0,3024.0,6922.0,0.43686795723779254
131.0,3022.0,7070.0,0.42743988684582745
125.0,2352.0,5476.0,0.42951059167275385
136.0,3664.0,7328.0,0.5
127.0,2754.0,6492.0,0.4242144177449168
117.0,1896.0,5516.0,0.34372733865119653
121.0,1622.0,4814.0,0.3369339426672206
116.0,1248.0,4048.0,0.308300395256917
152.0,2592.0,8328.0,0.3112391930835735
131.0,2112.0,5976.0,0.3534136546184739
124.0,2744.0,5584.0,0.49140401146131807
142.0,3148.0,8086.0,0.38931486519910957
118.0,2454.0,5518.0,0.4447263501268576
117.0,1682.0,4156.0,0.404716073147257
132.0,1896.0,5382.0,0.35228539576365664
112.0,1512.0,4348.0,0.34774609015639374
133.0,2728.0,7028.0,0.3881616391576551
135.0,3330.0,7122.0,0.4675652906486942
123.0,2260.0,4784.0,0.47240802675585286
124.0,2246.0,4878.0,0.46043460434604344
121.0,3190.0,6370.0,0.5007849293563579
132.0,3652.0,7068.0,0.5166949632144878
126.0,3330.0,6930.0,0.4805194805194805
128.0,2248.0,5888.0,0.38179347826086957
140.0,2678.0,6496.0,0.4122536945812808
115.0,1906.0,5494.0,0.346923917000364
128.0,2808.0,6632.0,0.4234016887816647
133.0,2432.0,5956.0,0.4083277367360645
126.0,2368.0,5824.0,0.4065934065934066
130.0,2362.0,4990.0,0.47334669338677354
128.0,2958.0,6448.0,0.4587468982630273
131.0,2488.0,6772.0,0.3673951565268754
134.0,2162.0,5382.0,0.4017094017094017
120.0,1648.0,5740.0,0.28710801393728225
134.0,2502.0,6094.0,0.4105677715786019
133.0,1924.0,5452.0,0.3528980190755686
133.0,3324.0,7440.0,0.4467741935483871
131.0,2044.0,5218.0,0.39172096588731314
133.0,2878.0,6922.0,0.41577578734469806
115.0,2162.0,4626.0,0.46735840899265024
131.0,2210.0,5904.0,0.3743224932249323
122.0,2698.0,5032.0,0.5361685214626392
115.0,2458.0,4648.0,0.5288296041308089
123.0,2830.0,5692.0,0.4971890372452565
131.0,3262.0,7544.0,0.4323966065747614
123.0,2616.0,5322.0,0.4915445321307779
129.0,2276.0,5694.0,0.3997190024587285
128.0,2620.0,6058.0,0.43248596896665564
127.0,2616.0,5888.0,0.44429347826086957
141.0,2904.0,7176.0,0.40468227424749165
114.0,1656.0,4560.0,0.3631578947368421
130.0,2512.0,6012.0,0.41783100465735196
141.0,2650.0,8062.0,0.3287025551972215
126.0,2610.0,5350.0,0.48785046728971965
129.0,2574.0,5916.0,0.43509127789046653
114.0,1702.0,4564.0,0.3729184925503944
131.0,3050.0,6766.0,0.45078332840673957
122.0,2454.0,5272.0,0.4654779969650986
122.0,2592.0,5846.0,0.4433800889497092
117.0,2566.0,4542.0,0.5649493615147512
117.0,2156.0,4812.0,0.4480465502909393
131.0,2888.0,6398.0,0.45139105970615817
133.0,2488.0,5880.0,0.4231292517006803
130.0,2874.0,6066.0,0.47378832838773494
129.0,2346.0,5374.0,0.43654633420171196
114.0,1712.0,5062.0,0.33820624259186094
120.0,2438.0,5114.0,0.47673054360578804
136.0,2320.0,5786.0,0.40096785343933633
125.0,2098.0,4698.0,0.4465730097914006
124.0,2278.0,6772.0,0.33638511518015357
132.0,2922.0,6270.0,0.4660287081339713
132.0,3028.0,6456.0,0.46902106567534074
125.0,2752.0,6244.0,0.4407431133888533
122.0,2308.0,4728.0,0.48815566835871405
131.0,2670.0,6106.0,0.4372748116606616
122.0,3096.0,6520.0,0.47484662576687114
114.0,2610.0,4932.0,0.5291970802919708
132.0,2464.0,6220.0,0.39614147909967845
131.0,2628.0,6204.0,0.42359767891682787
133.0,2194.0,6082.0,0.36073659980269646
134.0,2090.0,6554.0,0.3188892279523955
127.0,2150.0,5438.0,0.39536594336152997
117.0,2242.0,5144.0,0.4358475894245723
127.0,2464.0,6400.0,0.385
144.0,3310.0,9102.0,0.36365633926609536
137.0,2974.0,7444.0,0.3995163890381515
118.0,1638.0,4226.0,0.38760056791292
140.0,2668.0,7876.0,0.3387506348400203
137.0,2840.0,6934.0,0.40957600230747043
138.0,1942.0,7012.0,0.2769537934968625
131.0,2446.0,5982.0,0.408893346706787
117.0,2168.0,5144.0,0.4214618973561431
135.0,2130.0,5618.0,0.3791384834460662
131.0,2700.0,5480.0,0.4927007299270073
128.0,2276.0,6136.0,0.3709256844850065
136.0,3194.0,6370.0,0.5014128728414443
128.0,1918.0,6070.0,0.31598023064250413
124.0,2238.0,6102.0,0.3667649950835792
127.0,2752.0,6004.0,0.45836109260493
122.0,2572.0,5856.0,0.43920765027322406
137.0,3108.0,6922.0,0.4490031782721757
133.0,2318.0,6298.0,0.36805335026992697
111.0,1692.0,4086.0,0.41409691629955947
112.0,1886.0,4520.0,0.4172566371681416
125.0,2052.0,5728.0,0.35824022346368717
132.0,2908.0,7186.0,0.4046757584191483
132.0,2532.0,5842.0,0.43341321465251625
125.0,2788.0,6532.0,0.4268218003674219
123.0,2848.0,5624.0,0.5064011379800853
124.0,2280.0,6258.0,0.36433365292425696
134.0,2698.0,6666.0,0.40474047404740476
114.0,2848.0,5120.0,0.55625
134.0,2344.0,6290.0,0.3726550079491256
138.0,3388.0,6918.0,0.48973691818444637
131.0,2862.0,7344.0,0.3897058823529412
123.0,1882.0,5432.0,0.34646539027982326
111.0,1870.0,4250.0,0.44
119.0,1846.0,5368.0,0.3438897168405365
122.0,1918.0,5440.0,0.35257352941176473
117.0,1322.0,3442.0,0.3840790238233585
126.0,2202.0,5544.0,0.3971861471861472
131.0,2854.0,6894.0,0.4139831737742965
125.0,2550.0,5788.0,0.44056668970283347
126.0,2772.0,6874.0,0.40325865580448067
116.0,1866.0,5000.0,0.3732
125.0,1870.0,5492.0,0.3404952658412236
130.0,2744.0,5574.0,0.49228561176892716
119.0,2158.0,5578.0,0.3868770168519183
116.0,3022.0,5614.0,0.5382971143569647
131.0,2188.0,6960.0,0.314367816091954
