double_matchings,bits_recovered,bits,%,time
55.0,480.0,1058.0,0.4536862003780718,1.9191527366638184
68.0,684.0,1790.0,0.3821229050279329,3.552662134170532
23.0,70.0,180.0,0.3888888888888889,0.6256659030914307
114.0,2476.0,5178.0,0.4781769022788721,6.531625270843506
130.0,2432.0,5592.0,0.4349070100143061,5.272326469421387
4.0,4.0,10.0,0.4,0.1266341209411621
120.0,1572.0,4168.0,0.3771593090211132,3.978006362915039
124.0,2088.0,5608.0,0.3723252496433666,3.989154100418091
109.0,1186.0,3358.0,0.3531864204883859,3.671285152435303
45.0,234.0,670.0,0.3492537313432836,1.2997512817382812
103.0,1298.0,3798.0,0.3417588204318062,3.585024118423462
35.0,166.0,542.0,0.3062730627306273,1.3854596614837646
94.0,1844.0,3638.0,0.5068719076415613,2.739442825317383
50.0,318.0,810.0,0.3925925925925926,1.4260594844818115
13.0,10.0,38.0,0.2631578947368421,0.5629324913024902
93.0,1012.0,2376.0,0.4259259259259259,2.743794679641724
15.0,34.0,94.0,0.3617021276595745,0.4119470119476318
114.0,2300.0,4948.0,0.4648342764753436,3.820026159286499
116.0,1462.0,4216.0,0.3467741935483871,3.58902645111084
22.0,30.0,232.0,0.1293103448275862,0.6317043304443359
118.0,2200.0,4532.0,0.4854368932038835,3.3868212699890137
126.0,2092.0,4696.0,0.4454855195911414,3.941275358200073
85.0,1460.0,2948.0,0.4952510176390773,2.8023712635040283
128.0,2258.0,6894.0,0.3275311865390194,4.7814271450042725
121.0,2012.0,5752.0,0.3497913769123783,3.963228225708008
66.0,838.0,1600.0,0.52375,1.879976272583008
89.0,972.0,2386.0,0.4073763621123218,2.753498315811157
20.0,46.0,188.0,0.2446808510638297,0.7424640655517578
111.0,1864.0,4482.0,0.4158857652833556,4.225122451782227
133.0,2434.0,5878.0,0.4140864239537257,4.641669988632202
5.0,0.0,6.0,0.0,0.2334752082824707
19.0,106.0,158.0,0.6708860759493671,0.6105659008026123
20.0,104.0,166.0,0.6265060240963856,0.6436898708343506
6.0,0.0,12.0,0.0,0.2213287353515625
89.0,1038.0,2646.0,0.3922902494331066,2.801642894744873
114.0,2152.0,5818.0,0.3698865589549673,4.093764781951904
57.0,638.0,1224.0,0.5212418300653595,1.7038867473602295
94.0,1586.0,3018.0,0.5255135851557323,3.236011505126953
96.0,920.0,2974.0,0.3093476798924008,3.2919578552246094
13.0,38.0,58.0,0.6551724137931034,0.5374879837036133
63.0,732.0,1380.0,0.5304347826086957,2.0278398990631104
118.0,1866.0,4920.0,0.3792682926829268,4.112138509750366
18.0,32.0,136.0,0.2352941176470588,0.6223099231719971
113.0,2382.0,4572.0,0.520997375328084,4.712167739868164
51.0,616.0,1288.0,0.4782608695652174,1.5521388053894043
60.0,352.0,1262.0,0.2789223454833597,2.2024474143981934
116.0,1992.0,4600.0,0.4330434782608696,4.632148504257202
28.0,112.0,262.0,0.4274809160305343,1.0497934818267822
76.0,952.0,2386.0,0.3989941324392288,2.570702075958252
11.0,10.0,52.0,0.1923076923076923,0.3593361377716064
68.0,1078.0,1726.0,0.6245654692931634,2.64816689491272
126.0,2994.0,6922.0,0.4325339497255128,5.066796779632568
122.0,2630.0,6358.0,0.4136520918527839,4.97200083732605
47.0,280.0,878.0,0.3189066059225512,1.4333417415618896
17.0,20.0,136.0,0.1470588235294117,0.5812013149261475
66.0,434.0,1592.0,0.2726130653266331,1.867427349090576
69.0,752.0,2104.0,0.3574144486692015,2.225581645965576
66.0,1208.0,1872.0,0.6452991452991453,2.156208276748657
71.0,948.0,2208.0,0.4293478260869565,2.3190457820892334
122.0,2114.0,5022.0,0.4209478295499801,4.362038612365723
38.0,234.0,442.0,0.5294117647058824,1.0178024768829346
74.0,900.0,1844.0,0.4880694143167028,2.132788181304932
63.0,510.0,1324.0,0.3851963746223565,1.7951288223266602
90.0,966.0,2690.0,0.3591078066914498,3.147225379943848
98.0,1612.0,3848.0,0.4189189189189189,3.262270212173462
10.0,4.0,12.0,0.3333333333333333,0.2832157611846924
30.0,64.0,320.0,0.2,0.9462544918060304
100.0,1318.0,3328.0,0.3960336538461538,3.099106550216675
125.0,1888.0,4700.0,0.4017021276595744,4.312657356262207
78.0,1144.0,2472.0,0.4627831715210356,2.674312829971313
105.0,1986.0,4366.0,0.4548786074209803,3.680476188659668
10.0,22.0,32.0,0.6875,0.3315343856811523
90.0,1126.0,3430.0,0.3282798833819242,2.993533134460449
56.0,388.0,1468.0,0.2643051771117166,1.6786959171295166
61.0,436.0,1290.0,0.337984496124031,1.76302170753479
63.0,702.0,1212.0,0.5792079207920792,1.5794203281402588
34.0,174.0,558.0,0.3118279569892473,1.2027342319488523
4.0,0.0,4.0,0.0,0.1967647075653076
123.0,1896.0,5262.0,0.3603192702394527,4.327685594558716
65.0,504.0,1572.0,0.3206106870229007,2.2222628593444824
106.0,2644.0,4662.0,0.5671385671385671,4.074178218841553
104.0,1290.0,3650.0,0.3534246575342465,3.2388477325439453
49.0,358.0,958.0,0.3736951983298539,1.5918009281158447
63.0,712.0,1708.0,0.4168618266978923,2.1630399227142334
5.0,8.0,12.0,0.6666666666666666,0.1363720893859863
130.0,2002.0,4842.0,0.4134655101197852,4.301555156707764
39.0,256.0,490.0,0.5224489795918368,1.1041245460510254
16.0,72.0,148.0,0.4864864864864865,0.4527349472045898
108.0,2090.0,4590.0,0.4553376906318083,3.474558591842652
94.0,1060.0,2972.0,0.3566621803499327,3.063584327697754
10.0,2.0,28.0,0.0714285714285714,0.2454450130462646
128.0,2238.0,5468.0,0.4092904169714704,4.737215280532837
82.0,1022.0,2480.0,0.4120967741935484,2.8745555877685547
40.0,174.0,390.0,0.4461538461538462,1.4216434955596924
109.0,1902.0,4858.0,0.391519143680527,3.8495354652404794
23.0,72.0,184.0,0.391304347826087,0.7286567687988281
68.0,438.0,1930.0,0.2269430051813471,2.308995485305786
8.0,8.0,22.0,0.3636363636363636,0.2818286418914795
93.0,1162.0,3528.0,0.3293650793650793,3.1909425258636475
134.0,3024.0,7064.0,0.4280860702151755,5.1824164390563965
71.0,864.0,1572.0,0.549618320610687,2.349189519882202
46.0,342.0,766.0,0.4464751958224543,1.2431747913360596
77.0,840.0,2392.0,0.3511705685618729,2.48614239692688
89.0,1038.0,2972.0,0.3492597577388964,3.0367112159729004
60.0,430.0,1162.0,0.370051635111876,1.7105607986450195
88.0,678.0,2558.0,0.2650508209538702,2.8188605308532715
96.0,1674.0,3748.0,0.4466382070437567,3.5010807514190674
127.0,2012.0,5286.0,0.3806280741581536,4.154311418533325
12.0,6.0,54.0,0.1111111111111111,0.3230319023132324
115.0,1934.0,4960.0,0.3899193548387096,3.998391151428223
6.0,2.0,4.0,0.5,0.2947003841400146
85.0,1498.0,2988.0,0.501338688085676,2.684572219848633
64.0,1072.0,1698.0,0.6313309776207303,1.6469717025756836
58.0,466.0,1060.0,0.439622641509434,1.7621166706085205
99.0,1332.0,3312.0,0.4021739130434782,3.243891716003418
97.0,1208.0,3488.0,0.3463302752293578,3.319257974624634
18.0,16.0,80.0,0.2,0.4787094593048095
23.0,164.0,192.0,0.8541666666666666,0.6087620258331299
126.0,1760.0,5236.0,0.3361344537815126,4.460000276565552
104.0,2070.0,4356.0,0.4752066115702479,4.023391962051392
25.0,168.0,306.0,0.5490196078431373,0.6545240879058838
37.0,216.0,460.0,0.4695652173913043,1.169041395187378
117.0,2340.0,4690.0,0.4989339019189765,4.214910745620728
90.0,1398.0,3370.0,0.4148367952522255,2.881433486938477
35.0,202.0,350.0,0.5771428571428572,0.9282820224761964
75.0,802.0,2016.0,0.3978174603174603,2.778855085372925
15.0,16.0,34.0,0.4705882352941176,0.4324855804443359
104.0,2044.0,4232.0,0.4829867674858223,3.426723957061768
120.0,2608.0,5008.0,0.5207667731629393,4.381598234176636
80.0,1112.0,2448.0,0.4542483660130719,2.402888774871826
49.0,490.0,1054.0,0.4648956356736243,1.4002642631530762
17.0,0.0,72.0,0.0,0.4763076305389404
69.0,846.0,1598.0,0.5294117647058824,2.2048990726470947
56.0,702.0,1274.0,0.5510204081632653,1.7868592739105225
62.0,708.0,1556.0,0.455012853470437,2.032409429550171
118.0,1908.0,6012.0,0.3173652694610778,4.499464273452759
33.0,124.0,352.0,0.3522727272727273,1.0896329879760742
121.0,1422.0,5734.0,0.2479944192535751,4.169770479202271
79.0,880.0,2456.0,0.3583061889250814,2.239237070083618
96.0,1584.0,3264.0,0.4852941176470588,3.072005033493042
7.0,2.0,10.0,0.2,0.1557016372680664
12.0,22.0,46.0,0.4782608695652174,0.3778519630432129
110.0,2400.0,4896.0,0.4901960784313725,4.154369354248047
46.0,360.0,888.0,0.4054054054054054,1.2122578620910645
