double_matchings,bits_recovered,bits,%,time
35.0,184.0,184.0,1.0,1.0233922004699707
66.0,352.0,352.0,1.0,2.976266384124756
15.0,32.0,32.0,1.0,0.5859518051147461
12.0,28.0,28.0,1.0,0.4884529113769531
32.0,166.0,166.0,1.0,0.9097280502319336
90.0,1188.0,1188.0,1.0,3.898850202560425
58.0,256.0,256.0,1.0,2.6712746620178223
122.0,1342.0,1342.0,1.0,6.891171932220459
25.0,70.0,70.0,1.0,1.0283598899841309
66.0,366.0,366.0,1.0,3.838207483291626
108.0,1218.0,1218.0,1.0,4.942675828933716
15.0,66.0,66.0,1.0,0.5617713928222656
75.0,802.0,802.0,1.0,2.3864099979400635
69.0,444.0,444.0,1.0,2.8073394298553467
25.0,52.0,52.0,1.0,0.655205488204956
