double_matchings,bits_recovered,bits,%
113.0,2872.0,2872.0,1.0
17.0,52.0,52.0,1.0
6.0,8.0,8.0,1.0
102.0,3152.0,3152.0,1.0
105.0,3088.0,3088.0,1.0
73.0,1918.0,1918.0,1.0
55.0,814.0,814.0,1.0
18.0,114.0,114.0,1.0
102.0,2998.0,2998.0,1.0
66.0,1030.0,1030.0,1.0
85.0,2374.0,2374.0,1.0
139.0,4970.0,4970.0,1.0
27.0,198.0,198.0,1.0
43.0,676.0,676.0,1.0
117.0,3798.0,3798.0,1.0
107.0,3630.0,3630.0,1.0
16.0,72.0,72.0,1.0
128.0,3752.0,3752.0,1.0
87.0,2846.0,2846.0,1.0
54.0,948.0,948.0,1.0
35.0,520.0,520.0,1.0
41.0,418.0,418.0,1.0
128.0,5150.0,5150.0,1.0
122.0,4644.0,4644.0,1.0
106.0,3868.0,3868.0,1.0
5.0,0.0,6.0,0.0
58.0,928.0,928.0,1.0
44.0,668.0,668.0,1.0
11.0,14.0,14.0,1.0
107.0,3758.0,3758.0,1.0
104.0,3490.0,3490.0,1.0
19.0,120.0,122.0,0.9836065573770492
39.0,486.0,486.0,1.0
49.0,778.0,778.0,1.0
29.0,282.0,282.0,1.0
58.0,1008.0,1008.0,1.0
19.0,142.0,142.0,1.0
100.0,2846.0,2846.0,1.0
11.0,30.0,30.0,1.0
108.0,4032.0,4032.0,1.0
65.0,1410.0,1410.0,1.0
55.0,924.0,924.0,1.0
103.0,3104.0,3104.0,1.0
32.0,166.0,166.0,1.0
78.0,2196.0,2196.0,1.0
41.0,312.0,312.0,1.0
16.0,112.0,112.0,1.0
127.0,4992.0,4992.0,1.0
25.0,160.0,160.0,1.0
113.0,3746.0,3746.0,1.0
87.0,2378.0,2378.0,1.0
13.0,28.0,28.0,1.0
64.0,1420.0,1420.0,1.0
13.0,48.0,48.0,1.0
56.0,774.0,774.0,1.0
93.0,2484.0,2484.0,1.0
38.0,404.0,404.0,1.0
105.0,3640.0,3640.0,1.0
50.0,966.0,966.0,1.0
52.0,1076.0,1076.0,1.0
47.0,728.0,728.0,1.0
31.0,262.0,262.0,1.0
98.0,3230.0,3230.0,1.0
52.0,838.0,838.0,1.0
49.0,704.0,704.0,1.0
49.0,938.0,938.0,1.0
82.0,1726.0,1726.0,1.0
