double_matchings,bits_recovered,bits,%
126.0,4446.0,4446.0,1.0
134.0,3854.0,3854.0,1.0
136.0,5782.0,5782.0,1.0
138.0,5958.0,5958.0,1.0
123.0,3714.0,3714.0,1.0
122.0,3310.0,3310.0,1.0
133.0,4818.0,4818.0,1.0
122.0,4456.0,4456.0,1.0
132.0,4820.0,4820.0,1.0
140.0,5912.0,5912.0,1.0
117.0,3986.0,3986.0,1.0
121.0,3222.0,3222.0,1.0
121.0,3364.0,3364.0,1.0
131.0,4234.0,4234.0,1.0
131.0,4452.0,4452.0,1.0
144.0,5386.0,5386.0,1.0
122.0,4218.0,4218.0,1.0
116.0,3598.0,3598.0,1.0
128.0,5358.0,5358.0,1.0
125.0,3778.0,3778.0,1.0
128.0,5736.0,5736.0,1.0
125.0,3584.0,3584.0,1.0
132.0,3902.0,3902.0,1.0
136.0,4888.0,4888.0,1.0
119.0,4238.0,4238.0,1.0
122.0,4844.0,4844.0,1.0
125.0,4876.0,4876.0,1.0
131.0,5374.0,5374.0,1.0
117.0,4026.0,4026.0,1.0
129.0,5150.0,5150.0,1.0
128.0,5058.0,5058.0,1.0
128.0,3890.0,3890.0,1.0
119.0,4040.0,4040.0,1.0
135.0,5422.0,5422.0,1.0
129.0,5366.0,5366.0,1.0
113.0,3204.0,3204.0,1.0
122.0,4338.0,4338.0,1.0
130.0,4448.0,4448.0,1.0
136.0,5786.0,5786.0,1.0
131.0,4234.0,4234.0,1.0
126.0,5694.0,5694.0,1.0
131.0,4006.0,4006.0,1.0
126.0,3564.0,3564.0,1.0
139.0,6084.0,6084.0,1.0
137.0,4546.0,4546.0,1.0
122.0,4344.0,4344.0,1.0
130.0,4452.0,4452.0,1.0
130.0,4104.0,4104.0,1.0
138.0,5424.0,5424.0,1.0
122.0,4016.0,4016.0,1.0
120.0,3698.0,3698.0,1.0
125.0,4420.0,4420.0,1.0
126.0,3622.0,3622.0,1.0
132.0,4938.0,4938.0,1.0
118.0,4352.0,4352.0,1.0
120.0,3562.0,3562.0,1.0
128.0,4862.0,4862.0,1.0
131.0,4700.0,4700.0,1.0
121.0,4536.0,4536.0,1.0
132.0,3920.0,3920.0,1.0
127.0,4582.0,4582.0,1.0
125.0,4348.0,4348.0,1.0
132.0,4804.0,4804.0,1.0
131.0,4978.0,4978.0,1.0
127.0,4572.0,4572.0,1.0
131.0,4806.0,4806.0,1.0
132.0,6206.0,6206.0,1.0
128.0,4460.0,4460.0,1.0
117.0,3454.0,3454.0,1.0
124.0,4426.0,4426.0,1.0
131.0,4346.0,4346.0,1.0
138.0,5558.0,5558.0,1.0
127.0,4092.0,4092.0,1.0
111.0,3128.0,3128.0,1.0
117.0,3684.0,3684.0,1.0
136.0,5770.0,5770.0,1.0
145.0,6448.0,6448.0,1.0
128.0,4716.0,4716.0,1.0
133.0,5718.0,5718.0,1.0
135.0,5094.0,5094.0,1.0
138.0,5842.0,5842.0,1.0
111.0,3274.0,3274.0,1.0
138.0,4768.0,4768.0,1.0
132.0,5032.0,5032.0,1.0
133.0,5198.0,5198.0,1.0
137.0,6024.0,6024.0,1.0
135.0,5146.0,5146.0,1.0
120.0,4076.0,4076.0,1.0
125.0,4368.0,4368.0,1.0
125.0,3946.0,3946.0,1.0
137.0,5282.0,5282.0,1.0
107.0,3574.0,3574.0,1.0
131.0,4524.0,4524.0,1.0
120.0,3756.0,3756.0,1.0
117.0,2606.0,2606.0,1.0
124.0,4532.0,4532.0,1.0
126.0,4294.0,4294.0,1.0
132.0,4340.0,4340.0,1.0
129.0,5206.0,5206.0,1.0
129.0,4528.0,4528.0,1.0
120.0,4160.0,4160.0,1.0
146.0,5272.0,5272.0,1.0
122.0,3504.0,3504.0,1.0
126.0,4046.0,4046.0,1.0
123.0,4530.0,4530.0,1.0
134.0,5140.0,5140.0,1.0
121.0,3538.0,3538.0,1.0
138.0,5110.0,5110.0,1.0
140.0,5344.0,5344.0,1.0
125.0,4854.0,4854.0,1.0
124.0,4234.0,4234.0,1.0
129.0,4060.0,4060.0,1.0
137.0,4776.0,4776.0,1.0
121.0,4072.0,4072.0,1.0
126.0,3430.0,3430.0,1.0
141.0,5402.0,5402.0,1.0
124.0,4902.0,4902.0,1.0
117.0,4196.0,4196.0,1.0
121.0,4384.0,4384.0,1.0
134.0,4284.0,4284.0,1.0
134.0,5870.0,5870.0,1.0
129.0,5550.0,5550.0,1.0
130.0,4686.0,4686.0,1.0
113.0,4090.0,4090.0,1.0
118.0,4118.0,4118.0,1.0
120.0,4636.0,4636.0,1.0
126.0,5894.0,5894.0,1.0
114.0,3634.0,3634.0,1.0
127.0,4286.0,4286.0,1.0
129.0,4204.0,4204.0,1.0
123.0,4536.0,4536.0,1.0
129.0,4296.0,4296.0,1.0
135.0,5326.0,5326.0,1.0
125.0,4320.0,4320.0,1.0
118.0,3818.0,3818.0,1.0
128.0,5458.0,5458.0,1.0
