double_matchings,bits_recovered,bits,%
17.0,897.0,897.0,1.0
23.0,1230.0,1230.0,1.0
17.0,603.0,621.0,0.9710144927536232
16.0,408.0,408.0,1.0
14.0,228.0,300.0,0.76
16.0,621.0,621.0,1.0
18.0,747.0,747.0,1.0
13.0,261.0,261.0,1.0
12.0,168.0,168.0,1.0
15.0,432.0,432.0,1.0
17.0,822.0,822.0,1.0
14.0,297.0,297.0,1.0
13.0,282.0,282.0,1.0
16.0,591.0,591.0,1.0
18.0,675.0,879.0,0.7679180887372014
16.0,501.0,501.0,1.0
12.0,156.0,156.0,1.0
9.0,0.0,63.0,0.0
17.0,507.0,546.0,0.9285714285714286
17.0,951.0,951.0,1.0
13.0,171.0,291.0,0.5876288659793815
15.0,429.0,429.0,1.0
16.0,0.0,411.0,0.0
17.0,687.0,687.0,1.0
16.0,384.0,384.0,1.0
17.0,774.0,774.0,1.0
17.0,540.0,540.0,1.0
18.0,0.0,600.0,0.0
13.0,0.0,300.0,0.0
13.0,162.0,162.0,1.0
16.0,573.0,573.0,1.0
14.0,201.0,213.0,0.943661971830986
22.0,963.0,963.0,1.0
18.0,462.0,468.0,0.9871794871794872
17.0,735.0,735.0,1.0
20.0,1071.0,1071.0,1.0
13.0,267.0,267.0,1.0
19.0,906.0,906.0,1.0
14.0,318.0,417.0,0.762589928057554
18.0,597.0,597.0,1.0
14.0,318.0,318.0,1.0
20.0,1140.0,1140.0,1.0
11.0,144.0,144.0,1.0
11.0,138.0,150.0,0.92
15.0,489.0,489.0,1.0
17.0,729.0,729.0,1.0
16.0,624.0,624.0,1.0
16.0,567.0,567.0,1.0
23.0,1689.0,1689.0,1.0
24.0,2139.0,2139.0,1.0
18.0,876.0,876.0,1.0
20.0,1116.0,1116.0,1.0
12.0,0.0,234.0,0.0
16.0,474.0,474.0,1.0
16.0,444.0,444.0,1.0
20.0,987.0,987.0,1.0
19.0,900.0,900.0,1.0
11.0,180.0,180.0,1.0
13.0,285.0,285.0,1.0
12.0,78.0,108.0,0.7222222222222222
17.0,507.0,507.0,1.0
18.0,873.0,873.0,1.0
19.0,672.0,672.0,1.0
16.0,363.0,435.0,0.8344827586206897
16.0,105.0,351.0,0.2991452991452991
15.0,525.0,525.0,1.0
19.0,645.0,864.0,0.7465277777777778
15.0,378.0,378.0,1.0
19.0,747.0,747.0,1.0
17.0,720.0,720.0,1.0
21.0,1248.0,1248.0,1.0
15.0,456.0,456.0,1.0
11.0,93.0,129.0,0.7209302325581395
13.0,0.0,222.0,0.0
19.0,492.0,693.0,0.70995670995671
14.0,258.0,258.0,1.0
18.0,864.0,864.0,1.0
14.0,411.0,411.0,1.0
15.0,312.0,312.0,1.0
13.0,192.0,192.0,1.0
12.0,0.0,156.0,0.0
14.0,0.0,138.0,0.0
20.0,1065.0,1065.0,1.0
15.0,483.0,492.0,0.9817073170731708
13.0,345.0,345.0,1.0
16.0,513.0,513.0,1.0
16.0,570.0,570.0,1.0
14.0,0.0,408.0,0.0
14.0,219.0,255.0,0.8588235294117647
15.0,474.0,474.0,1.0
14.0,249.0,249.0,1.0
18.0,840.0,840.0,1.0
14.0,180.0,216.0,0.8333333333333334
12.0,258.0,297.0,0.8686868686868687
16.0,306.0,480.0,0.6375
22.0,1437.0,1437.0,1.0
19.0,837.0,837.0,1.0
16.0,498.0,498.0,1.0
22.0,1485.0,1485.0,1.0
17.0,291.0,483.0,0.6024844720496895
19.0,768.0,768.0,1.0
11.0,123.0,135.0,0.9111111111111112
20.0,873.0,873.0,1.0
20.0,336.0,573.0,0.5863874345549738
17.0,693.0,693.0,1.0
21.0,1173.0,1173.0,1.0
17.0,528.0,528.0,1.0
13.0,255.0,255.0,1.0
15.0,549.0,549.0,1.0
16.0,381.0,381.0,1.0
13.0,117.0,192.0,0.609375
14.0,342.0,375.0,0.912
16.0,273.0,375.0,0.728
18.0,753.0,753.0,1.0
20.0,1059.0,1059.0,1.0
22.0,1503.0,1503.0,1.0
16.0,375.0,447.0,0.8389261744966443
16.0,441.0,462.0,0.9545454545454546
15.0,501.0,501.0,1.0
18.0,720.0,720.0,1.0
17.0,753.0,753.0,1.0
11.0,0.0,135.0,0.0
17.0,561.0,648.0,0.8657407407407407
17.0,621.0,621.0,1.0
11.0,0.0,162.0,0.0
16.0,579.0,579.0,1.0
14.0,369.0,369.0,1.0
11.0,162.0,162.0,1.0
18.0,807.0,807.0,1.0
17.0,687.0,687.0,1.0
15.0,528.0,528.0,1.0
16.0,504.0,504.0,1.0
8.0,0.0,48.0,0.0
19.0,1128.0,1128.0,1.0
18.0,624.0,624.0,1.0
11.0,168.0,168.0,1.0
16.0,312.0,414.0,0.7536231884057971
24.0,1698.0,1746.0,0.972508591065292
16.0,621.0,621.0,1.0
11.0,75.0,117.0,0.6410256410256411
18.0,747.0,747.0,1.0
18.0,678.0,678.0,1.0
21.0,1434.0,1434.0,1.0
24.0,2028.0,2028.0,1.0
16.0,579.0,579.0,1.0
11.0,18.0,81.0,0.2222222222222222
17.0,921.0,921.0,1.0
15.0,0.0,495.0,0.0
16.0,342.0,435.0,0.7862068965517242
16.0,651.0,651.0,1.0
15.0,441.0,441.0,1.0
15.0,519.0,528.0,0.9829545454545454
12.0,291.0,300.0,0.97
16.0,552.0,552.0,1.0
13.0,273.0,273.0,1.0
16.0,471.0,471.0,1.0
14.0,348.0,348.0,1.0
15.0,531.0,531.0,1.0
17.0,468.0,468.0,1.0
21.0,1377.0,1377.0,1.0
19.0,1194.0,1194.0,1.0
14.0,96.0,114.0,0.8421052631578947
25.0,2232.0,2232.0,1.0
15.0,348.0,387.0,0.8992248062015504
17.0,732.0,732.0,1.0
17.0,648.0,648.0,1.0
17.0,771.0,771.0,1.0
28.0,2778.0,2778.0,1.0
20.0,0.0,1056.0,0.0
18.0,846.0,846.0,1.0
19.0,801.0,801.0,1.0
18.0,498.0,498.0,1.0
16.0,435.0,435.0,1.0
15.0,390.0,390.0,1.0
21.0,1242.0,1242.0,1.0
20.0,948.0,948.0,1.0
14.0,0.0,306.0,0.0
21.0,1023.0,1023.0,1.0
17.0,465.0,549.0,0.8469945355191257
23.0,1260.0,1260.0,1.0
11.0,117.0,129.0,0.9069767441860463
16.0,594.0,594.0,1.0
19.0,714.0,867.0,0.8235294117647058
19.0,864.0,864.0,1.0
17.0,498.0,498.0,1.0
18.0,828.0,828.0,1.0
9.0,0.0,66.0,0.0
12.0,213.0,213.0,1.0
21.0,1122.0,1122.0,1.0
19.0,975.0,975.0,1.0
18.0,729.0,729.0,1.0
10.0,153.0,153.0,1.0
17.0,735.0,735.0,1.0
12.0,90.0,144.0,0.625
17.0,510.0,537.0,0.9497206703910616
14.0,360.0,363.0,0.9917355371900828
15.0,474.0,510.0,0.9294117647058824
19.0,945.0,945.0,1.0
14.0,384.0,384.0,1.0
17.0,633.0,633.0,1.0
15.0,204.0,294.0,0.6938775510204082
15.0,336.0,336.0,1.0
16.0,210.0,249.0,0.8433734939759037
15.0,354.0,396.0,0.8939393939393939
16.0,456.0,474.0,0.9620253164556962
16.0,582.0,582.0,1.0
16.0,648.0,648.0,1.0
19.0,672.0,828.0,0.8115942028985508
17.0,498.0,498.0,1.0
12.0,303.0,303.0,1.0
18.0,420.0,630.0,0.6666666666666666
15.0,513.0,513.0,1.0
20.0,1017.0,1017.0,1.0
13.0,258.0,258.0,1.0
20.0,978.0,978.0,1.0
16.0,366.0,366.0,1.0
17.0,780.0,801.0,0.9737827715355806
15.0,324.0,357.0,0.907563025210084
20.0,1152.0,1152.0,1.0
19.0,957.0,957.0,1.0
17.0,528.0,528.0,1.0
15.0,315.0,360.0,0.875
16.0,378.0,378.0,1.0
15.0,534.0,558.0,0.956989247311828
15.0,402.0,402.0,1.0
19.0,822.0,822.0,1.0
19.0,990.0,990.0,1.0
18.0,519.0,519.0,1.0
18.0,885.0,885.0,1.0
17.0,342.0,429.0,0.7972027972027972
16.0,288.0,423.0,0.6808510638297872
10.0,117.0,117.0,1.0
12.0,189.0,195.0,0.9692307692307692
15.0,426.0,426.0,1.0
18.0,750.0,750.0,1.0
12.0,174.0,195.0,0.8923076923076924
13.0,312.0,312.0,1.0
15.0,213.0,351.0,0.6068376068376068
16.0,453.0,501.0,0.9041916167664672
17.0,474.0,474.0,1.0
14.0,417.0,417.0,1.0
14.0,210.0,303.0,0.693069306930693
15.0,402.0,402.0,1.0
14.0,372.0,372.0,1.0
14.0,318.0,318.0,1.0
11.0,177.0,177.0,1.0
19.0,666.0,666.0,1.0
18.0,741.0,741.0,1.0
14.0,357.0,357.0,1.0
10.0,111.0,117.0,0.9487179487179488
19.0,864.0,864.0,1.0
18.0,888.0,888.0,1.0
12.0,117.0,174.0,0.6724137931034483
20.0,1059.0,1059.0,1.0
14.0,387.0,402.0,0.9626865671641792
13.0,327.0,327.0,1.0
22.0,1329.0,1329.0,1.0
18.0,768.0,768.0,1.0
17.0,768.0,768.0,1.0
18.0,999.0,999.0,1.0
11.0,159.0,159.0,1.0
10.0,0.0,111.0,0.0
20.0,894.0,894.0,1.0
21.0,1551.0,1551.0,1.0
16.0,219.0,258.0,0.8488372093023255
16.0,438.0,438.0,1.0
18.0,567.0,567.0,1.0
19.0,1230.0,1230.0,1.0
22.0,1563.0,1563.0,1.0
16.0,438.0,468.0,0.935897435897436
13.0,300.0,300.0,1.0
17.0,711.0,711.0,1.0
16.0,615.0,615.0,1.0
17.0,171.0,429.0,0.3986013986013986
12.0,147.0,171.0,0.8596491228070176
16.0,621.0,621.0,1.0
17.0,528.0,528.0,1.0
19.0,1122.0,1122.0,1.0
11.0,204.0,204.0,1.0
14.0,315.0,315.0,1.0
17.0,603.0,603.0,1.0
19.0,801.0,801.0,1.0
13.0,213.0,255.0,0.8352941176470589
15.0,462.0,462.0,1.0
25.0,1827.0,1827.0,1.0
12.0,0.0,222.0,0.0
17.0,771.0,771.0,1.0
12.0,234.0,234.0,1.0
16.0,603.0,603.0,1.0
12.0,189.0,189.0,1.0
12.0,0.0,159.0,0.0
16.0,597.0,597.0,1.0
11.0,0.0,168.0,0.0
20.0,996.0,996.0,1.0
15.0,342.0,420.0,0.8142857142857143
19.0,1140.0,1140.0,1.0
13.0,312.0,312.0,1.0
17.0,459.0,459.0,1.0
18.0,729.0,729.0,1.0
14.0,327.0,351.0,0.9316239316239316
16.0,708.0,708.0,1.0
17.0,633.0,633.0,1.0
16.0,546.0,546.0,1.0
16.0,351.0,351.0,1.0
15.0,546.0,546.0,1.0
15.0,261.0,261.0,1.0
19.0,717.0,717.0,1.0
15.0,192.0,345.0,0.5565217391304348
18.0,561.0,561.0,1.0
19.0,798.0,798.0,1.0
17.0,513.0,513.0,1.0
13.0,384.0,384.0,1.0
14.0,210.0,240.0,0.875
15.0,678.0,678.0,1.0
16.0,711.0,711.0,1.0
16.0,435.0,435.0,1.0
18.0,762.0,828.0,0.9202898550724636
18.0,606.0,606.0,1.0
16.0,567.0,567.0,1.0
18.0,585.0,645.0,0.9069767441860463
14.0,294.0,324.0,0.9074074074074074
14.0,441.0,441.0,1.0
19.0,909.0,945.0,0.961904761904762
10.0,114.0,114.0,1.0
17.0,678.0,678.0,1.0
21.0,1035.0,1035.0,1.0
18.0,750.0,750.0,1.0
14.0,0.0,384.0,0.0
12.0,117.0,153.0,0.7647058823529411
16.0,564.0,564.0,1.0
17.0,297.0,423.0,0.7021276595744681
16.0,597.0,597.0,1.0
15.0,279.0,315.0,0.8857142857142857
11.0,126.0,126.0,1.0
13.0,225.0,225.0,1.0
15.0,453.0,462.0,0.9805194805194806
15.0,369.0,369.0,1.0
12.0,135.0,150.0,0.9
22.0,1116.0,1116.0,1.0
12.0,117.0,153.0,0.7647058823529411
17.0,654.0,690.0,0.9478260869565216
11.0,198.0,198.0,1.0
16.0,525.0,525.0,1.0
12.0,0.0,174.0,0.0
17.0,750.0,750.0,1.0
18.0,567.0,588.0,0.9642857142857144
16.0,543.0,543.0,1.0
12.0,201.0,267.0,0.7528089887640449
11.0,135.0,135.0,1.0
14.0,369.0,369.0,1.0
